BOM ID,Member internalid,Line ID,Item source,Member Quantity,Effective Date,Obsolete Date,Units
422692,236785,14,Stock , 0.05769231 ,14/08/2025,14/08/2025,Test
422692,193204,15,Stock , 0.62500000 ,14/08/2025,14/08/2025,Test
422692,193205,16,Stock , 0.62500000 ,14/08/2025,14/08/2025,Test
422692,211443,17,Stock , 0.18000000 ,14/08/2025,14/08/2025,Test
422692,211627,18,Stock , 0.18000000 ,14/08/2025,14/08/2025,Test
422692,116748,19,Stock , 0.01800000 ,14/08/2025,14/08/2025,Test
422692,116747,20,Stock , 0.01080000 ,14/08/2025,14/08/2025,Test
422692,116749,21,Stock , 0.01115044 ,14/08/2025,14/08/2025,Test
422692,116718,22,Stock , 0.00318584 ,14/08/2025,14/08/2025,Test
422692,291547,23,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,236785,24,Stock , 0.00032051 ,14/08/2025,,Test
422692,116748,25,Stock , 0.00010000 ,14/08/2025,,Test
422692,116747,26,Stock , 0.00006000 ,14/08/2025,,Test
422692,116749,27,Stock , 0.00006195 ,14/08/2025,,Test
422692,116718,28,Stock , 0.00001770 ,14/08/2025,,Test
422692,291547,29,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,211490,30,Stock , 0.00033333 ,14/08/2025,14/08/2025,Test
422692,211443,31,Stock , 0.06000000 ,14/08/2025,14/08/2025,Test
422692,211627,32,Stock , 0.06000000 ,14/08/2025,14/08/2025,Test
422692,291545,33,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,236788,34,Stock , 0.00576923 ,14/08/2025,14/08/2025,Test
422692,373534,35,Stock , 0.00105000 ,14/08/2025,14/08/2025,Test
422692,236778,36,Stock , 0.21000000 ,14/08/2025,14/08/2025,Test
422692,211443,37,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422692,211439,38,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422692,116748,39,Stock , 0.00180000 ,14/08/2025,14/08/2025,Test
422692,116747,40,Stock , 0.00108000 ,14/08/2025,14/08/2025,Test
422692,116749,41,Stock , 0.0011150442 ,14/08/2025,14/08/2025,Test
422692,116718,42,Stock , 0.00031858 ,14/08/2025,14/08/2025,Test
422692,291546,43,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,236788,44,Stock , 0.05769231 ,14/08/2025,14/08/2025,Test
422692,193204,45,Stock , 0.62500000 ,14/08/2025,14/08/2025,Test
422692,193205,46,Stock , 0.62500000 ,14/08/2025,14/08/2025,Test
422692,211443,47,Stock , 0.18000000 ,14/08/2025,14/08/2025,Test
422692,211627,48,Stock , 0.18000000 ,14/08/2025,14/08/2025,Test
422692,116748,49,Stock , 0.01800000 ,14/08/2025,14/08/2025,Test
422692,116747,50,Stock , 0.01080000 ,14/08/2025,14/08/2025,Test
422692,116749,51,Stock , 0.01115044 ,14/08/2025,14/08/2025,Test
422692,116718,52,Stock , 0.00318584 ,14/08/2025,14/08/2025,Test
422692,291547,53,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422692,236788,54,Stock , 0.00032051 ,14/08/2025,,Test
422692,116748,55,Stock , 0.00010000 ,14/08/2025,,Test
422692,116747,56,Stock , 0.00006000 ,14/08/2025,,Test
422692,116749,57,Stock , 0.00006195 ,14/08/2025,,Test
422692,116718,58,Stock , 0.00001770 ,14/08/2025,,Test
422698,291543,1,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,344417,2,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422698,291545,3,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,236786,4,Stock , 0.00800000 ,14/08/2025,14/08/2025,Test
422698,373534,5,Stock , 0.00140000 ,14/08/2025,14/08/2025,Test
422698,236778,6,Stock , 0.56000000 ,14/08/2025,14/08/2025,Test
422698,211443,7,Stock , 0.00400000 ,14/08/2025,14/08/2025,Test
422698,211439,8,Stock , 0.00400000 ,14/08/2025,14/08/2025,Test
422698,116748,9,Stock , 0.00360000 ,14/08/2025,14/08/2025,Test
